Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,,C,C4,10uF,SMD-0805,1,
2,,D_4xZENER,D2D3,SP1001-04XTG,SOT-553,2,
3,,JUMP2_2x1,J7J10J11J12J13,JUMP2_2x1,Straight_2x01,5,
4,,JUMP_2X2,J6,JUMP_2X2,Straight_2x02,1,
5,,JUMP_2x1,J1J2J3J4J5,JUMP_2x1,Straight_2x01,5,
6,,JUMP_4X2,J14,JUMP_4X2,Straight_2x04,1,
7,,RJ12,J8J9,RJ12GLP-AMP,RJ12GLP-AMP(RJ12),2,
8,,R,R3R5,10k,SMD-0805,2,
